Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
9/7/2009	4	Dissolved	SRP	3.155663802
9/9/2009	4	Dissolved	SRP	-0.300533583
9/11/2009	4	Dissolved	SRP	1.384150967
9/14/2009	4	Dissolved	SRP	-0.300533583
9/16/2009	4	Dissolved	SRP	2.619218487
7/22/2009	5	Dissolved	SRP	1.501412619
7/24/2009	5	Dissolved	SRP	NA
7/27/2009	5	Dissolved	SRP	-2.677279305
7/29/2009	5	Dissolved	SRP	0.240145744
7/31/2009	5	Dissolved	SRP	NA
8/3/2009	5	Dissolved	SRP	0.247620726
8/5/2009	5	Dissolved	SRP	0.733865371
8/7/2009	5	Dissolved	SRP	0.647191011
8/10/2009	5	Dissolved	SRP	-4.683567098
8/12/2009	5	Dissolved	SRP	-4.95470873
8/14/2009	5	Dissolved	SRP	-6.053524449
8/17/2009	5	Dissolved	SRP	-8.364595023
8/19/2009	5	Dissolved	SRP	1.000577103
8/21/2009	5	Dissolved	SRP	1.003621521
8/24/2009	5	Dissolved	SRP	0.162885619
8/26/2009	5	Dissolved	SRP	0.657347795
8/28/2009	5	Dissolved	SRP	0.492401568
8/31/2009	5	Dissolved	SRP	0.572793627
9/2/2009	5	Dissolved	SRP	0.596155141
9/4/2009	5	Dissolved	SRP	0.590107163
9/7/2009	5	Dissolved	SRP	-0.150269705
9/9/2009	5	Dissolved	SRP	-1.202134331
9/11/2009	5	Dissolved	SRP	0.276830193
9/14/2009	5	Dissolved	SRP	-1.202134331
9/16/2009	5	Dissolved	SRP	0
7/22/2009	7	Dissolved	SRP	2.252118929
7/24/2009	7	Dissolved	SRP	NA
7/27/2009	7	Dissolved	SRP	2.677279305
7/29/2009	7	Dissolved	SRP	4.082477642
7/31/2009	7	Dissolved	SRP	NA
8/3/2009	7	Dissolved	SRP	3.466690166
8/5/2009	7	Dissolved	SRP	2.690839695
8/7/2009	7	Dissolved	SRP	6.633707865
8/10/2009	7	Dissolved	SRP	-0.669081014
8/12/2009	7	Dissolved	SRP	-2.14704045
8/14/2009	7	Dissolved	SRP	1.752336025
8/17/2009	7	Dissolved	SRP	-4.103386238
8/19/2009	7	Dissolved	SRP	5.002885515
8/21/2009	7	Dissolved	SRP	4.516296845
8/24/2009	7	Dissolved	SRP	10.75045088
8/26/2009	7	Dissolved	SRP	6.902151847
8/28/2009	7	Dissolved	SRP	5.580551104
8/31/2009	7	Dissolved	SRP	54.84498976
9/2/2009	7	Dissolved	SRP	38.30296778
9/4/2009	7	Dissolved	SRP	29.65288493
9/7/2009	7	Dissolved	SRP	9.91780052
9/9/2009	7	Dissolved	SRP	4.808537325
9/11/2009	7	Dissolved	SRP	5.121358579
9/14/2009	7	Dissolved	SRP	4.808537325
9/16/2009	7	Dissolved	SRP	11.49545891
7/22/2009	8	Dissolved	SRP	1.000941746
7/24/2009	8	Dissolved	SRP	NA
7/27/2009	8	Dissolved	SRP	-1.070911722
7/29/2009	8	Dissolved	SRP	0.960582974
7/31/2009	8	Dissolved	SRP	NA
8/3/2009	8	Dissolved	SRP	1.485724357
8/5/2009	8	Dissolved	SRP	0.978487162
8/7/2009	8	Dissolved	SRP	0.808988764
8/10/2009	8	Dissolved	SRP	-3.847215831
