Date	Well	Sample	Fraction	Rate	P-value	R2
7-17-09	B4	15	PR	22.42	3.84E-70	0.851
7-17-09	B5	16	PR	37.68	1.37E-162	0.989
7-17-09	B6	99	PR	0.07	8.45E-01	0.000
7-17-09	C1	3	BR	24.08	6.49E-210	0.997
7-17-09	C2	4	BR	25.15	1.97E-194	0.995
7-17-09	C3	5	BR	25.02	2.59E-185	0.994
7-17-09	C4	7	BR	17.23	3.26E-170	0.991
7-17-09	C5	8	BR	5.42	3.15E-77	0.878
7-17-09	C6	9	BR	29.99	8.91E-167	0.990
7-17-09	D1	10	BR	24.94	1.71E-194	0.995
7-17-09	D2	13	BR	14.46	7.90E-152	0.985
7-17-09	D3	14	BR	17.00	3.51E-170	0.991
7-17-09	D4	15	BR	-2.77	6.47E-37	0.624
7-17-09	D5	16	BR	13.98	2.40E-144	0.981
7-17-09	D6	99	BR	-1.44	1.40E-18	0.375
7-17-09	A1	3	PR	5.37	1.03E-81	0.892
7-17-09	A2	4	PR	9.07	1.38E-70	0.853
7-17-09	A3	5	PR	12.56	9.26E-130	0.972
7-17-09	A4	7	PR	103.07	2.20E-124	0.967
7-17-09	A5	8	PR	41.64	1.26E-114	0.957
7-17-09	A6	9	PR	53.58	1.32E-148	0.983
7-17-09	B1	10	PR	29.73	2.69E-148	0.983
7-17-09	B2	13	PR	21.03	3.23E-49	0.733
7-17-09	B3	14	PR	46.36	1.51E-184	0.994
7-17-09	B4	15	PR	22.83	5.72E-186	0.994
7-17-09	B5	16	PR	55.60	2.86E-185	0.994
7-17-09	B6	99	PR	-3.68	8.22E-62	0.812
7-17-09	C1	3	BR	8.13	1.30E-118	0.961
7-17-09	C2	4	BR	16.20	4.06E-144	0.981
7-17-09	C3	5	BR	20.79	9.31E-93	0.921
7-17-09	C4	7	BR	18.29	1.28E-167	0.990
7-17-09	C5	8	BR	12.02	2.74E-132	0.974
7-17-09	C6	9	BR	8.10	1.45E-87	0.908
7-17-09	D1	10	BR	20.74	3.87E-179	0.993
7-17-09	D2	13	BR	26.03	5.05E-173	0.992
7-17-09	D3	14	BR	27.01	5.39E-123	0.966
7-17-09	D4	15	BR	24.22	4.71E-134	0.975
7-17-09	D5	16	BR	32.84	6.62E-140	0.979
7-17-09	D6	99	BR	-1.49	3.39E-10	0.213
7-20-09	A1	3	PR	41.13	1.62E-182	0.993
7-20-09	A2	4	PR	18.62	1.58E-35	0.607
7-20-09	A3	5	PR	17.80	1.35E-135	0.975
7-20-09	A4	7	PR	52.02	1.90E-152	0.985
7-20-09	A5	8	PR	73.85	1.52E-153	0.985
7-20-09	A6	9	PR	74.80	8.13E-180	0.993
7-20-09	B1	10	PR	18.12	2.01E-155	0.986
7-20-09	B2	13	PR	18.86	1.63E-60	0.803
7-20-09	B3	14	PR	42.08	1.24E-37	0.630
7-20-09	B4	15	PR	27.89	2.77E-129	0.971
7-20-09	B5	16	PR	38.73	1.73E-153	0.985
7-20-09	B6	99	PR	-1.05	3.45E-09	0.190
7-20-09	C1	3	BR	33.34	2.15E-231	0.998
7-20-09	C2	4	BR	11.35	7.33E-131	0.972
7-20-09	C3	5	BR	16.30	5.74E-138	0.977
7-20-09	C4	7	BR	26.39	1.84E-180	0.993
7-20-09	C5	8	BR	24.47	5.40E-114	0.955
7-20-09	C6	9	BR	19.24	1.27E-166	0.990
7-20-09	D1	10	BR	7.29	8.23E-43	0.679
7-20-09	D2	13	BR	26.38	1.06E-197	0.996
