Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
9/14/09	8	Dissolved	NPOC	13.01
9/14/09	9	Dissolved	NPOC	10.32
9/14/09	10	Dissolved	NPOC	24.98
9/14/09	13	Dissolved	NPOC	24.51
9/14/09	14	Dissolved	NPOC	25.97
9/14/09	15	Dissolved	NPOC	18.83
9/14/09	16	Dissolved	NPOC	30.61
9/16/09	3	Dissolved	NPOC	11.12
9/16/09	4	Dissolved	NPOC	13.27
9/16/09	5	Dissolved	NPOC	6.73
9/16/09	7	Dissolved	NPOC	21.80
9/16/09	8	Dissolved	NPOC	17.35
9/16/09	9	Dissolved	NPOC	14.73
9/16/09	10	Dissolved	NPOC	9.26
9/16/09	13	Dissolved	NPOC	26.96
9/16/09	14	Dissolved	NPOC	25.55
9/16/09	15	Dissolved	NPOC	14.82
9/16/09	16	Dissolved	NPOC	23.70
9/18/09	3	Dissolved	NPOC	15.31
9/18/09	4	Dissolved	NPOC	17.31
9/18/09	5	Dissolved	NPOC	8.20
9/18/09	7	Dissolved	NPOC	28.62
9/18/09	8	Dissolved	NPOC	13.34
9/18/09	9	Dissolved	NPOC	13.05
9/18/09	10	Dissolved	NPOC	11.04
9/18/09	13	Dissolved	NPOC	31.23
9/18/09	14	Dissolved	NPOC	37.36
9/18/09	15	Dissolved	NPOC	21.95
9/18/09	16	Dissolved	NPOC	26.37
9/21/09	3	Dissolved	NPOC	15.70
9/21/09	4	Dissolved	NPOC	13.53
9/21/09	5	Dissolved	NPOC	9.17
9/21/09	7	Dissolved	NPOC	23.49
9/21/09	8	Dissolved	NPOC	13.14
9/21/09	9	Dissolved	NPOC	14.42
9/21/09	10	Dissolved	NPOC	13.55
9/21/09	13	Dissolved	NPOC	29.20
9/21/09	14	Dissolved	NPOC	27.62
9/21/09	15	Dissolved	NPOC	15.49
9/21/09	16	Dissolved	NPOC	27.13
9/23/09	3	Dissolved	NPOC	9.74
9/23/09	4	Dissolved	NPOC	16.26
9/23/09	5	Dissolved	NPOC	6.58
9/23/09	7	Dissolved	NPOC	26.18
9/23/09	8	Dissolved	NPOC	17.64
9/23/09	9	Dissolved	NPOC	12.20
9/23/09	10	Dissolved	NPOC	10.55
9/23/09	13	Dissolved	NPOC	27.33
9/23/09	14	Dissolved	NPOC	32.50
9/23/09	15	Dissolved	NPOC	19.55
9/23/09	16	Dissolved	NPOC	37.34
9/25/09	3	Dissolved	NPOC	10.97
9/25/09	4	Dissolved	NPOC	13.56
9/25/09	5	Dissolved	NPOC	6.99
9/25/09	7	Dissolved	NPOC	22.40
9/25/09	8	Dissolved	NPOC	13.49
9/25/09	9	Dissolved	NPOC	14.01
9/25/09	10	Dissolved	NPOC	11.88
9/25/09	13	Dissolved	NPOC	22.96
9/25/09	14	Dissolved	NPOC	32.49
9/25/09	15	Dissolved	NPOC	20.02
9/25/09	16	Dissolved	NPOC	26.77
6/10/09	3	Total	NPOC	3.47
6/10/09	4	Total	NPOC	4.47
6/10/09	5	Total	NPOC	4.25
6/10/09	7	Total	NPOC	4.64
6/10/09	8	Total	NPOC	4.09
6/10/09	9	Total	NPOC	3.60
6/10/09	10	Total	NPOC	3.48
6/10/09	13	Total	NPOC	6.80
6/10/09	14	Total	NPOC	8.33
6/10/09	15	Total	NPOC	3.93
6/10/09	16	Total	NPOC	5.82
6/10/09	3	Total	NPOC	4.05
6/10/09	4	Total	NPOC	3.74
6/10/09	5	Total	NPOC	3.86
6/10/09	7	Total	NPOC	4.63
6/10/09	8	Total	NPOC	3.93
6/10/09	9	Total	NPOC	3.72
6/10/09	10	Total	NPOC	3.29
6/10/09	13	Total	NPOC	6.50
6/10/09	14	Total	NPOC	8.52
6/10/09	15	Total	NPOC	3.83
6/10/09	16	Total	NPOC	5.69
6/12/09	3	Total	NPOC	3.70
6/12/09	4	Total	NPOC	5.85
6/12/09	5	Total	NPOC	4.25
6/12/09	7	Total	NPOC	6.26
